CODE,DECLARANT,YEAR,MONTH,PERIOD,IMPORT_QUANTITY_TON,EXPORT_QUANTITY_TON,CONSUMPTION_TON,CONSUMPTION_G,CONSUMPTION_AVO,POPULATION_SIZE,CONSUMPTION_AVO_PP
NLD,003 Netherlands,2015,Nov,201511 Nov. 2015,13713.80,17659.10,-3945.30,-3945300000.00,-21918333.33,16900726,-1.2969
NLD,003 Netherlands,2015,Dec,201512 Dec. 2015,15654.00,10804.30,4849.70,4849700000.00,26942777.78,16900726,1.5942
DEU,004 Fr Germany,2010,Jan,201001 Jan. 2010,2715.50,281.20,2434.30,2434300000.00,13523888.89,81802257,0.1653
DEU,004 Fr Germany,2010,Feb,201002 Feb. 2010,1799.90,295.10,1504.80,1504800000.00,8360000.00,81802257,0.1022
DEU,004 Fr Germany,2010,Mrt,201003 Mar. 2010,2360.90,311.50,2049.40,2049400000.00,11385555.56,81802257,0.1392
DEU,004 Fr Germany,2010,Apr,201004 Apr. 2010,2317.90,434.40,1883.50,1883500000.00,10463888.89,81802257,0.1279
DEU,004 Fr Germany,2010,Mei,201005 May. 2010,2891.10,590.40,2300.70,2300700000.00,12781666.67,81802257,0.1563
DEU,004 Fr Germany,2010,Jun,201006 Jun. 2010,1861.30,592.40,1268.90,1268900000.00,7049444.44,81802257,0.0862
DEU,004 Fr Germany,2010,Jul,201007 Jul. 2010,1789.70,1172.10,617.60,617600000.00,3431111.11,81802257,0.0419
DEU,004 Fr Germany,2010,Aug,201008 Aug. 2010,2336.70,850.80,1485.90,1485900000.00,8255000.00,81802257,0.1009
DEU,004 Fr Germany,2010,Sep,201009 Sep. 2010,1770.80,402.00,1368.80,1368800000.00,7604444.44,81802257,0.0930
DEU,004 Fr Germany,2010,Okt,201010 Oct. 2010,2157.50,451.00,1706.50,1706500000.00,9480555.56,81802257,0.1159
DEU,004 Fr Germany,2010,Nov,201011 Nov. 2010,2827.80,268.60,2559.20,2559200000.00,14217777.78,81802257,0.1738
DEU,004 Fr Germany,2010,Dec,201012 Dec. 2010,3085.40,431.50,2653.90,2653900000.00,14743888.89,81802257,0.1802
DEU,004 Fr Germany,2011,Jan,201101 Jan. 2011,3393.10,318.40,3074.70,3074700000.00,17081666.67,80222065,0.2129
DEU,004 Fr Germany,2011,Feb,201102 Feb. 2011,2928.90,365.70,2563.20,2563200000.00,14240000.00,80222065,0.1775
DEU,004 Fr Germany,2011,Mrt,201103 Mar. 2011,2633.10,475.20,2157.90,2157900000.00,11988333.33,80222065,0.1494
DEU,004 Fr Germany,2011,Apr,201104 Apr. 2011,2555.00,428.70,2126.30,2126300000.00,11812777.78,80222065,0.1473
DEU,004 Fr Germany,2011,Mei,201105 May. 2011,2214.70,542.50,1672.20,1672200000.00,9290000.00,80222065,0.1158
DEU,004 Fr Germany,2011,Jun,201106 Jun. 2011,2379.80,703.00,1676.80,1676800000.00,9315555.56,80222065,0.1161
DEU,004 Fr Germany,2011,Jul,201107 Jul. 2011,2099.60,463.60,1636.00,1636000000.00,9088888.89,80222065,0.1133
DEU,004 Fr Germany,2011,Aug,201108 Aug. 2011,2105.10,658.80,1446.30,1446300000.00,8035000.00,80222065,0.1002
